,username,location,following,followers,totaltweets,whentweetcreated,retweets,text
2679,utkucolak28,,100,27,40,2021-01-02 11:33:07,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2680,buraktmustafa,5 5,270,219,5766,2021-01-02 11:30:05,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2681,kenber12,"İstanbul, Türkiye",176,132,143,2021-01-02 11:11:54,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2682,meric_1905,"İskenderun, Türkiye",191,198,3058,2021-01-02 10:59:01,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2683,yesilgzll,"Gaziantep, Türkiye ",950,2524,25261,2021-01-02 10:54:34,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2684,cubuklufb,Kadıköy   -   İstanbul,239,881,458,2021-01-02 10:47:25,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2685,ulanemrebile,,97,485,33359,2021-01-02 10:42:47,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2686,elipceylan,İZMİR,118,234,4366,2021-01-02 10:41:07,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2688,wwhitechoclate,,405,18,167,2021-01-02 10:29:54,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2689,ern_cglr,,910,308,48175,2021-01-02 10:28:23,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2700,Herteldenrt,,8407,67422,180802,2021-01-02 09:07:44,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2705,krhnila,elli3,182,242,4530,2021-01-02 08:56:58,1,harika duygu yüklü bi reklam gözlerim doldu
2706,Emiinaksu,"Düzce, Türkiye",561,462,8680,2021-01-02 08:56:31,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2707,yavuzali60,,191,44,15582,2021-01-02 08:53:43,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2708,harunsaglam,"İstanbul, Türkiye",279,13987,12841,2021-01-02 08:38:34,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2710,sametkaragoz06,"Ankara, Türkiye",259,125,6208,2021-01-02 08:29:02,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
